POSTCODE,SUBURB 1,SUBURB 2,SUBURB 3,SUBURB 4,SUBURB 5,SUBURB 6,SUBURB 7,SUBURB 8,SUBURB 9,SUBURB 10,SUBURB 11,SUBURB 12,SUBURB 13,SUBURB 14,SUBURB 15,SUBURB 16,SUBURB 17,SUBURB 18,SUBURB 19,SUBURB 20,SUBURB 21,SUBURB 22,SUBURB 23,SUBURB 24,SUBURB 25,SUBURB 26,SUBURB 27,SUBURB 28,SUBURB 29,SUBURB 30,SUBURB 31,SUBURB 32,SUBURB 33,SUBURB 34,SUBURB 35,SUBURB 36,SUBURB 37,SUBURB 38,SUBURB 39,SUBURB 40,SUBURB 41,SUBURB 42,SUBURB 43,SUBURB 44,SUBURB 45,SUBURB 46
2162,SEFTON,CHESTER HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163,CARRAMAR,VILLAWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2164,SMITHFIELD,WETHERILL PARK,HORSLEY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2165,FAIRFIELD EAST,FAIRFIELD,FAIRFIELD WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2166,CABRAMATTA,CANLEY VALE,CANLEY HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2167,GLENFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168,GREEN VALLEY,SADLEIR,HECKENBERG,BUSBY,MILLER,ASHCROFT,CARTWRIGHT,HINCHINBROOK,SADLIER-MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,CASULA,CHIPPING NORTON,LIVERPOOL,HAMMONDVILLE,MOUNT PRITCHARD,PRESTONS,WARWICK FARM,LURNEA,MOOREBANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,HOXTON PARK,CARNES HILL,CECIL HILLS,MIDDLETON GRANGE,HORNINGSEA PARK,WEST HOXTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,WATTLE GROVE,HOLSWORTHY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,EDMONDSON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,HORSLEY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,BOSSLEY PARK,ST JOHNS PARK,EDENSOR PARK,WAKELEY,GREENFIELD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,BONNYRIGG,BONNYRIGG HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,KEMPS CREEK,CECIL PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,AUSTRAL,LEPPINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,GREENACRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,BELFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,BELMORE,BELFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2193,ASHBURY,CANTERBURY,HURLSTONE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2194,CAMPSIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2195,LAKEMBA,WILEY PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2196,ROSELANDS,PUNCHBOWL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2197,BASS HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,GEORGES HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2199,YAGOONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,BANKSTOWN,CONDELL PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,DULWICH HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204,MARRICKVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,ARNCLIFFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,EARLWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,BARDWELL PARK,BEXLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2208,KINGSGROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2209,BEVERLY HILLS,NARWEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,PEAKHURST,LUGARNO,RIVERWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2211,PADSTOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212,REVESBY,REVESBY HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,PANANIA,PICNIC POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,MILPERRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2216,ROCKDALE,BRIGHTON-LE-SANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,KOGARAH,SANS SOUCI,RAMSGATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2218,CARLTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2219,SANS SOUCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2220,HURSTVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2221,BLAKEHURST,SOUTH HURSTVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,PENSHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,OATLEY,MORTDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,SYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,OYSTER BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2226,COMO,JANNALI,BONNET BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,GYMEA BAY,GYMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2228,MIRANDA,YOWIE BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2229,CARINGBAH,TAREN POINT,LILLI PILLI,CARRINGBAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,CRONULLA,BUNDEENA,WOOLOOWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2231,KURNELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2232,AUDLEY,KIRRAWEE,SUTHERLAND,WORONORA,GRAYS POINT,LOFTUS,KAREELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2233,ENGADINE,HEATHCOTE,WATERFALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2234,MENAI,ILLAWONG,BANGOR,ALFORDS POINT,BARDEN RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,KARIONG,GOSFORD,ERINA,WEST GOSFORD,HOLGATE,KULNURA,LISAROW,PEATS RIDGE,POINT CLARE,CENTRAL MANGROVE,EAST GOSFORD,WYOMING,SPRINGFIELD,NIAGARA PARK,NARARA,NORTH GOSFORD,GOSFORD EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,AVOCA BEACH,SARATOGA,KINCUMBER,COPACABANA,GREEN POINT,BENSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,WOY WOY,WOY WOY SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2257,EMPIRE BAY,ETTALONG BEACH,PRETTY BEACH,UMINA BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2258,OURIMBAH,FOUNTAINDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2259,WARNERVALE,WYONG,KANWAL,LAKE MUNMORAH,TACOMA,TUGGERAH,WYEE,WYONG CREEK,TUGGERAWONG,HAMLYN TERRACE,MANNERING PARK,GWANDALAN,WOONGARRAH,WADALBA,YARRAMALONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,TERRIGAL,ERINA HEIGHTS,WAMBERAL,WAMBRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2261,BERKELEY VALE,THE ENTRANCE,KILLARNEY VALE,BATEAU BAY,CHITTAWAY BAY,TUMBI UMBI,LONG JETTY,SHELLY BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2262,BUDGEWOI,SAN REMO,BLUE HAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263,TOUKLEY,GOROKAN,LAKE HAVEN,NORAVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2264,DORA CREEK,BONNELLS BAY,MORISSET,BRIGHTWATERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2265,COORANBONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2267,WANGI WANGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2278,WAKEFIELD,BARNSLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2280,BELMONT,MARKS POINT,VALENTINE,JEWELLS,BELMONT NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2281,PELICAN,NORDS WHARF,SWANSEA,BLACKSMITHS,CAVES BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2282,WARNERS BAY,ELEEBANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,AWABA,FASSIFERN,RATHMINES,TORONTO,BLACKALLS PARK,COAL POINT,ARCADIA VALE,FENNELL BAY,KILABEN BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284,BOOLAROO,TERALBA,ARGENTON,SPEERS POINT,BOORAGUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285,CARDIFF,EDGEWORTH,CARDIFF SOUTH,GLENDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286,WEST WALLSEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287,MINMI,WALLSEND,MARYLAND,FLETCHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2289,KOTARA,ADAMSTOWN,GARDEN SUBURB,KOTARA SOUTH,WARATAH WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2290,DUDLEY,CHARLESTOWN,REDHEAD,GATESHEAD,KAHIBAH,MOUNT HUTTON,HILLSBOROUGH,WHITEBRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2291,MEREWETHER,MEREWETHER HEIGHTS,MEREWETHER BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,BROADMEADOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294,CARRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,STOCKTON,FERN BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,ISLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297,TIGHES HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298,WARATAH,WARATAH WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,JESMOND,LAMBTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,COOKS HILL,NEWCASTLE,THE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,HAMILTON,GATESHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,MAYFIELD EAST,MAYFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2305,NEW LAMBTON HEIGHTS,NEW LAMBTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,WINDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,SHORTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,GRESFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,NABIAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2315,SHOAL BAY,NELSON BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2316,ANNA BAY,BOBS FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2317,SALAMANDER BAY,SOLDIERS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2318,MEDOWIE,SALT ASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2319,TANILBA BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320,LORN,MAITLAND,TELARAH,BOLWARRA,LARGS,RUTHERFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321,CLARENCE TOWN,GILLIESTON HEIGHTS,HINTON,WOODVILLE,LOCHINVAR,MORPETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322,WOODBERRY,BERESFIELD,BLACK HILL,THORNTON,TARRO,CHISHOLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2323,EAST MAITLAND,MULBRING,TENAMBIT,METFORD,ASHTONFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,KARUAH,MILLERS FOREST,OSTERLEY,RAYMOND TERRACE,SEAHAM,HEATHERBRAE,TEA GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2325,BELLBIRD,CESSNOCK,CONGEWAI,ELLALONG,KEARSLEY,KITCHENER,LAGUNA,MILLFIELD,NULKABA,PAXTON,CESSNOCK WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326,ABERMAIN,WESTON,CARDIFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2327,STANFORD MERTHYR,PELAW MAIN,KURRI KURRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2328,DENMAN,MARTINDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,CASSILIS,MERRIWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,BROKE,JERRYS PLAINS,MILBRODALE,SINGLETON,SINGLETON HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2333,SANDY HOLLOW,MUSWELLBROOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2334,GRETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2335,BRANXTON,LOWER BELFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336,ABERDEEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,BELLTREES,ELLERSTON,SCONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2338,BLANDFORD,MURRURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2339,WILLOW TREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2340,TAMWORTH,SOUTH TAMWORTH,TIMBUMBURI,CARROLL,DUNGOWAN,NEMINGHA,NUNDLE,SOMERTON,WEST TAMWORTH,WESTDALE,WOOLOMIN,CALALA,NORTH TAMWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,WERRIS CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,CURRABUBULA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,BLACKVILLE,SPRING RIDGE,CAROONA,WALLABADAH,QUIRINDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,DURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,ATTUNGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,MANILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,BARRABA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,ARMIDALE,WOLLOMOMBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,KOOTINGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,MOONBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,KENTUCKY,NIANGALA,NOWENDOC,WALCHA,WOOLBROOK,YARROWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,BENDEMEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,GWABEGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,COONABARABRAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,KINGSTOWN,URALLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,BUNDARRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,GILGAI,GUM FLAT,INVERELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,ASHFORD,BONSHAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,GUYRA,BEN LOMOND,BLACK MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,TINGHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,GLEN INNES,RED RANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,DEEPWATER,EMMAVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,TENTERFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,MULLALEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,GUNNEDAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,CURLEWIS,PREMER,TAMBAR SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382,BOGGABRI,MAULES CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,BURREN JUNCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,ROWENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,PILLIGA,WEE WAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,NARRABRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2395,BINNAWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,BARADINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,BELLATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,PALLAMALLAWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,MOREE,TULLOONA,BULLARAH,MOREE EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,GRAVESEND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,WARIALDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,DELUNGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,BINGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,BOOMI,GARAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,MUNGINDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,NORTH STAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,BOGGABILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,YETMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,CROPPA CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,STROUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,DUNGOG,MARTINS CREEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,PATERSON,VACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,BARRINGTON,STRATFORD,GLOUCESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,BULAHDELAH,BUNGWAHL,COOLONGOLOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,MOUNT GEORGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,BOORAL,STROUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,COOPERNOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,HARRINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,TUNCURRY,BOOMERANG BEACH,FORSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,BOBIN,COMBOYNE,ELANDS,KRAMBACH,WINGHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,CUNDLETOWN,LANSDOWNE,UPPER LANSDOWNE,MITCHELLS ISLAND,OLD BAR,OXLEY ISLAND,TAREE,TINONEE,DIAMOND BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,SOUTH WEST ROCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,KENDALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,BELLBROOK,CRESCENT HEAD,FREDERICKTON,GLADSTONE,WEST KEMPSEY,KEMPSEY,KINCHELA,SMITHTOWN,WILLAWARRIN,YARRAVEL,SOUTH KEMPSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,CROSSMAGLEN,EUNGAI CREEK,ROLLANDS PLAINS,TELEGRAPH POINT,STUARTS POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,HANNAM VALE,HERONS CREEK,JOHNS RIVER,LAURIETON,MOORLAND,NORTH HAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,PORT MACQUARIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,LAKE CATHIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,WAUCHOPE,LONG FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,MACKSVILLE,MEDLOW,SCOTTS HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,NAMBUCCA HEADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,BOWRAVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,BONVILLE,COFFS HARBOUR,BOAMBEE,CORAMBA,GLENREAGH,KARANGI,KORORA,LOWANNA,NANA GLEN,UPPER ORARA,ULONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,SAWTELL,TOORMINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,CASCADE,DUNDURRABIN,DORRIGO,EBOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,BELLINGEN,RALEIGH,REPTON,THORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,URUNGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,CORINDI BEACH,WOOLGOOLGA,SANDY BEACH,MULLAWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
